Nq,epsilon_old,epsilon_z,Delta_epsilon
1001,-1.063544409973365,-1.0635444099733649,2.220446049250313e-16
2001,-1.0635444099733649,-1.0635444099733649,0.0
4001,-1.0635444099733649,-1.063544409973365,-2.220446049250313e-16
8001,-1.063544409973365,-1.063544409973365,0.0
16001,-1.063544409973365,-1.063544409973365,0.0
